"Gene","Frequencia_afetacoes","Percentual"
"LOC129936455",5,0.06
"LOC129936456",5,0.06
"LOC129936457",5,0.06
"LYZL4",5,0.06
"MIR138-1",5,0.06
"NKTR",5,0.06
"PDCD6IP-DT",5,0.06
"POMGNT2",5,0.06
"SEC22C",5,0.06
"SNRK",5,0.06
"SS18L2",5,0.06
"TCAIM",5,0.06
"TGM4",5,0.06
"TMEM42",5,0.06
"TOPAZ1",5,0.06
"TRAK1",5,0.06
"VIPR1",5,0.06
"ZBTB47",5,0.06
"ZDHHC3",5,0.06
"ZKSCAN7",5,0.06
"ZNF197",5,0.06
"ZNF35",5,0.06
"ZNF445",5,0.06
"ZNF501",5,0.06
"ZNF502",5,0.06
"ZNF660",5,0.06
"ZNF662",5,0.06
"ZNF852",5,0.06
"ACVR2B-AS1",4,0.04
"ALS2CL",4,0.04
"BALR6",4,0.04
"CCDC12",4,0.04
"CCR1",4,0.04
"CCR2",4,0.04
"CCR3",4,0.04
"CCR5",4,0.04
"CCR9",4,0.04
"CCRL2",4,0.04
"CNOT10-AS1",4,0.04
"CRIPTO",4,0.04
"CXCR6",4,0.04
"FYCO1",4,0.04
"GOLGA4-AS1",4,0.04
"HDAC11-AS1",4,0.04
"ITGA9-AS1",4,0.04
"KRABD1",4,0.04
"KRABD1-AS1",4,0.04
"LARS2",4,0.04
"LIMD1",4,0.04
"LINC00620",4,0.04
"LINC00690",4,0.04
"LINC00691",4,0.04
"LINC00692",4,0.04
"LINC00693",4,0.04
"LINC01267",4,0.04
"LINC01980",4,0.04
"LINC01981",4,0.04
"LINC01985",4,0.04
"LINC02011",4,0.04
"LINC02022",4,0.04
"LINC02084",4,0.04
"LOC101927829",4,0.04
"LOC105376975",4,0.04
"LOC107133518",4,0.04
"LOC107457584",4,0.04
"LOC108254666",4,0.04
"LOC110120630",4,0.04
"LOC110121143",4,0.04
"LOC110121232",4,0.04
"LOC110121269",4,0.04
"LOC110121286",4,0.04
"LOC110121287",4,0.04
"LOC110121288",4,0.04
"LOC111365150",4,0.04
"LOC111365223",4,0.04
"LOC111465007",4,0.04
"LOC111465009",4,0.04
"LOC111501778",4,0.04
"LOC112268445",4,0.04
"LOC112903834",4,0.04
"LOC112903841",4,0.04
"LOC112935902",4,0.04
"LOC112935927",4,0.04
"LOC112935928",4,0.04
"LOC112935929",4,0.04
"LOC112935930",4,0.04
"LOC114803475",4,0.04
"LOC115995505",4,0.04
"LOC115995506",4,0.04
"LOC115995507",4,0.04
"LOC115995509",4,0.04
"LOC120285841",4,0.04
"LOC121009640",4,0.04
"LOC121009641",4,0.04
"LOC121009642",4,0.04
"LOC121009643",4,0.04
"LOC121009644",4,0.04
"LOC121009651",4,0.04
"LOC121009652",4,0.04
"LOC121009653",4,0.04
