"Gene","Frequencia_afetacoes","Percentual"
"LOC122889024",3,0.03
"LOC122889025",3,0.03
"LOC122889026",3,0.03
"LOC122889027",3,0.03
"LOC122889028",3,0.03
"LOC122889029",3,0.03
"LOC122889030",3,0.03
"LOC122889031",3,0.03
"LOC122889032",3,0.03
"LOC122889033",3,0.03
"LOC122889070",3,0.03
"LOC122889071",3,0.03
"LOC122889072",3,0.03
"LOC126806585",3,0.03
"LOC126806586",3,0.03
"LOC126806587",3,0.03
"LOC126806588",3,0.03
"LOC126806589",3,0.03
"LOC126806590",3,0.03
"LOC126806591",3,0.03
"LOC126806592",3,0.03
"LOC126806593",3,0.03
"LOC126806594",3,0.03
"LOC126806595",3,0.03
"LOC126806596",3,0.03
"LOC126806597",3,0.03
"LOC126806598",3,0.03
"LOC126806599",3,0.03
"LOC126806600",3,0.03
"LOC126806601",3,0.03
"LOC126806602",3,0.03
"LOC126806603",3,0.03
"LOC126806653",3,0.03
"LOC126806654",3,0.03
"LOC129389017",3,0.03
"LOC129389018",3,0.03
"LOC129389019",3,0.03
"LOC129389020",3,0.03
"LOC129389021",3,0.03
"LOC129389022",3,0.03
"LOC129389023",3,0.03
"LOC129389059",3,0.03
"LOC129929021",3,0.03
"LOC129929022",3,0.03
"LOC129929023",3,0.03
"LOC129929024",3,0.03
"LOC129929025",3,0.03
"LOC129929026",3,0.03
"LOC129936035",3,0.03
"LOC129936036",3,0.03
"LOC129936037",3,0.03
"LOC129936038",3,0.03
"LOC129936039",3,0.03
"LOC129936040",3,0.03
"LOC129936041",3,0.03
"LOC129936042",3,0.03
"LOC129936043",3,0.03
"LOC129936044",3,0.03
"LOC129936045",3,0.03
"LOC129936046",3,0.03
"LOC129936047",3,0.03
"LOC129936048",3,0.03
"LOC129936049",3,0.03
"LOC129936050",3,0.03
"LOC129936051",3,0.03
"LOC129936052",3,0.03
"LOC129936053",3,0.03
"LOC129936054",3,0.03
"LOC129936055",3,0.03
"LOC129936056",3,0.03
"LOC129936057",3,0.03
"LOC129936058",3,0.03
"LOC129936059",3,0.03
"LOC129936060",3,0.03
"LOC129936061",3,0.03
"LOC129936062",3,0.03
"LOC129936063",3,0.03
"LOC129936064",3,0.03
"LOC129936065",3,0.03
"LOC129936066",3,0.03
"LOC129936067",3,0.03
"LOC129936068",3,0.03
"LOC129936069",3,0.03
"LOC129936070",3,0.03
"LOC129936071",3,0.03
"LOC129936072",3,0.03
"LOC129936073",3,0.03
"LOC129936074",3,0.03
"LOC129936075",3,0.03
"LOC129936076",3,0.03
"LOC129936077",3,0.03
"LOC129936078",3,0.03
"LOC129936079",3,0.03
"LOC129936080",3,0.03
"LOC129936081",3,0.03
"LOC129936082",3,0.03
"LOC129936083",3,0.03
"LOC129936084",3,0.03
"LOC129936085",3,0.03
"LOC129936086",3,0.03
"LOC129936087",3,0.03
"LOC129936088",3,0.03
"LOC129936089",3,0.03
"LOC129936090",3,0.03
"LOC129936091",3,0.03
"LOC129936092",3,0.03
"LOC129936093",3,0.03
"LOC129936094",3,0.03
"LOC129936095",3,0.03
"LOC129936096",3,0.03
"LOC129936097",3,0.03
"LOC129936098",3,0.03
"LOC129936099",3,0.03
"LOC129936100",3,0.03
"LOC129936101",3,0.03
"LOC129936102",3,0.03
"LOC129936103",3,0.03
"LOC129936104",3,0.03
"LOC129936105",3,0.03
"LOC129936106",3,0.03
"LOC129936107",3,0.03
"LOC129936108",3,0.03
"LOC129936109",3,0.03
"LOC129936110",3,0.03
"LOC129936111",3,0.03
"LOC129936112",3,0.03
"LOC129936113",3,0.03
"LOC129936114",3,0.03
"LOC129936115",3,0.03
"LOC129936116",3,0.03
"LOC129936117",3,0.03
"LOC129936118",3,0.03
"LOC129936119",3,0.03
"LOC129936120",3,0.03
"LOC129936121",3,0.03
"LOC129936122",3,0.03
"LOC129936123",3,0.03
"LOC129936124",3,0.03
"LOC129936125",3,0.03
"LOC129936126",3,0.03
"LOC129936127",3,0.03
"LOC129936128",3,0.03
"LOC129936129",3,0.03
"LOC129936130",3,0.03
"LOC129936131",3,0.03
"LOC129936132",3,0.03
"LOC129936133",3,0.03
"LOC129936134",3,0.03
"LOC129936135",3,0.03
"LOC129936136",3,0.03
"LOC129936137",3,0.03
"LOC129936138",3,0.03
"LOC129936139",3,0.03
"LOC129936140",3,0.03
"LOC129936141",3,0.03
"LOC129936142",3,0.03
"LOC129936143",3,0.03
"LOC129936144",3,0.03
"LOC129936145",3,0.03
"LOC129936146",3,0.03
"LOC129936147",3,0.03
"LOC129936148",3,0.03
"LOC129936149",3,0.03
"LOC129936150",3,0.03
"LOC129936151",3,0.03
"LOC129936152",3,0.03
"LOC129936153",3,0.03
"LOC129936154",3,0.03
"LOC129936155",3,0.03
"LOC129936156",3,0.03
"LOC129936157",3,0.03
"LOC129936491",3,0.03
"LOC129936492",3,0.03
"LOC129936493",3,0.03
"LOC129936494",3,0.03
"LOC129936495",3,0.03
"LOC129936496",3,0.03
"LOC129936497",3,0.03
"LOC129936498",3,0.03
"LOC129936499",3,0.03
"LOC129936500",3,0.03
"LOC129936501",3,0.03
"LOC129936502",3,0.03
"LOC129936503",3,0.03
"LOC129936504",3,0.03
"LOC129936505",3,0.03
"LOC129936506",3,0.03
"LOC129936507",3,0.03
"LOC129936508",3,0.03
"LOC129936509",3,0.03
"LOC129936510",3,0.03
"LOC129936511",3,0.03
"LOC129936512",3,0.03
"LOC129936513",3,0.03
"LOC129936514",3,0.03
"LOC129936515",3,0.03
"LOC129936516",3,0.03
"LOC129936517",3,0.03
"LOC129936518",3,0.03
"LOC129936519",3,0.03
"LOC129936520",3,0.03
"LOC129936521",3,0.03
"LOC129936522",3,0.03
"LOC129936523",3,0.03
"LOC129936524",3,0.03
"LOC129936525",3,0.03
"LOC129936526",3,0.03
"LOC129936527",3,0.03
"LOC129936528",3,0.03
"LOC129936529",3,0.03
"LOC129936530",3,0.03
"LOC132088859",3,0.03
"LOC132088944",3,0.03
"LOC132088949",3,0.03
"LOC132088954",3,0.03
"LOC132088963",3,0.03
"LOC132088964",3,0.03
"LOC132088965",3,0.03
"LOC132088977",3,0.03
"LOC132088979",3,0.03
"LOC132088980",3,0.03
"LOC401052",3,0.03
"LRTM1",3,0.03
"LSMEM2",3,0.03
"MANF",3,0.03
"MAP4",3,0.03
"MAPKAPK3",3,0.03
"MIR12127",3,0.03
"MIR191",3,0.03
"MIR378B",3,0.03
"MIR4790",3,0.03
"MIR6822",3,0.03
"MIR885",3,0.03
"MIRLET7G",3,0.03
"MON1A",3,0.03
"MST1",3,0.03
"MST1R",3,0.03
"MUSTN1",3,0.03
"NAA80",3,0.03
"NCKIPSD",3,0.03
"NDUFAF3",3,0.03
"NEK4",3,0.03
"NICN1",3,0.03
"NISCH",3,0.03
"NME6",3,0.03
"NPRL2",3,0.03
"NT5DC2",3,0.03
"P4HTM",3,0.03
"PARP3",3,0.03
"PBRM1",3,0.03
"PCBP4",3,0.03
"PFKFB4",3,0.03
"PHF7",3,0.03
"PLXNB1",3,0.03
"POC1A",3,0.03
"PPM1M",3,0.03
"PRKAR2A",3,0.03
"PRKCD",3,0.03
"PRRT3-AS1",3,0.03
"PTPN23",3,0.03
"QARS1",3,0.03
"QRICH1",3,0.03
"RAD54L2",3,0.03
"RASSF1",3,0.03
"RBM15B",3,0.03
"RBM5",3,0.03
"RBM6",3,0.03
"RFT1",3,0.03
"RHOA",3,0.03
"RNF123",3,0.03
"RPL29",3,0.03
"RRP9",3,0.03
"SCAP",3,0.03
"SELENOK",3,0.03
"SEMA3B",3,0.03
"SEMA3F",3,0.03
"SEMA3F-AS1",3,0.03
"SEMA3G",3,0.03
"SETD2",3,0.03
"SFMBT1",3,0.03
"SHISA5",3,0.03
"SLC25A20",3,0.03
"SLC26A6",3,0.03
"SLC38A3",3,0.03
"SLC6A1-AS1",3,0.03
"SMARCC1",3,0.03
"SNORA6",3,0.03
"SPCS1",3,0.03
"SPINK8",3,0.03
"SRGAP3-AS2",3,0.03
"SRGAP3-AS3",3,0.03
"SRGAP3-AS4",3,0.03
"STAB1",3,0.03
"STIMATE",3,0.03
"STIMATE-MUSTN1",3,0.03
"TCTA",3,0.03
"TEX264",3,0.03
"THUMPD3-AS1",3,0.03
"TKT",3,0.03
"TLR9",3,0.03
"TMA7",3,0.03
"TMEM115",3,0.03
"TMEM89",3,0.03
"TNNC1",3,0.03
"TRAIP",3,0.03
"TREX1",3,0.03
"TUSC2",3,0.03
"TWF2",3,0.03
"UBA7",3,0.03
"UCN2",3,0.03
"UQCC5",3,0.03
"UQCRC1",3,0.03
"USP19",3,0.03
"USP4",3,0.03
"WDR6",3,0.03
"WDR82",3,0.03
"ZMYND10",3,0.03
"ZNF589",3,0.03
"A4GNT",2,0.02
"AADAC",2,0.02
"AADACL2",2,0.02
"ABCC5",2,0.02
"ABCF3",2,0.02
"ABHD10",2,0.02
"ABHD6",2,0.02
"ABI3BP",2,0.02
"ABTB1",2,0.02
"ACAD11",2,0.02
"ACAD9",2,0.02
"ACAP2",2,0.02
"ACKR4",2,0.02
"ACOX2",2,0.02
"ACP3",2,0.02
"ACTL6A",2,0.02
"ACTRT3",2,0.02
"ADAMTS9",2,0.02
"ADCY5",2,0.02
"ADGRG7",2,0.02
"ADIPOQ",2,0.02
"ADPRH",2,0.02
"AGTR1",2,0.02
"AHSG",2,0.02
"ALCAM",2,0.02
"ALDH1L1",2,0.02
"ALG1L2",2,0.02
"ALG3",2,0.02
"AMOTL2",2,0.02
"ANAPC13",2,0.02
"ANKUB1",2,0.02
"AP2M1",2,0.02
"APOD",2,0.02
"APPL1",2,0.02
"ARF4",2,0.02
"ARGFX",2,0.02
"ARHGAP31",2,0.02
"ARHGEF26",2,0.02
"ARHGEF3",2,0.02
"ARL13B",2,0.02
"ARL14",2,0.02
"ARL6",2,0.02
"ARL6IP5",2,0.02
"ARMC8",2,0.02
"ASB14",2,0.02
"ASTE1",2,0.02
"ATG3",2,0.02
"ATP11B",2,0.02
"ATP13A3",2,0.02
"ATP13A4",2,0.02
"ATP13A5",2,0.02
"ATP1B3",2,0.02
"ATP2C1",2,0.02
"ATP6V1A",2,0.02
"ATR",2,0.02
"ATXN7",2,0.02
"B3GALNT1",2,0.02
"B3GNT5",2,0.02
"B4GALT4",2,0.02
"BBX",2,0.02
"BCHE",2,0.02
"BCL6",2,0.02
"BDH1",2,0.02
"BFSP2",2,0.02
"BOC",2,0.02
"BTLA",2,0.02
"C3orf22",2,0.02
"C3orf33",2,0.02
"C3orf36",2,0.02
"C3orf38",2,0.02
"C3orf52",2,0.02
"C3orf70",2,0.02
"C3orf80",2,0.02
"CADM2",2,0.02
"CADPS",2,0.02
"CAMK2N2",2,0.02
"CASR",2,0.02
"CBLB",2,0.02
"CCDC14",2,0.02
"CCDC191",2,0.02
"CCDC39",2,0.02
"CCDC50",2,0.02
"CCDC54",2,0.02
"CCDC66",2,0.02
"CCDC80",2,0.02
"CCNL1",2,0.02
"CD200",2,0.02
"CD200R1",2,0.02
"CD200R1L",2,0.02
"CD47",2,0.02
"CD80",2,0.02
"CD86",2,0.02
"CD96",2,0.02
"CDV3",2,0.02
"CEP15",2,0.02
"CEP19",2,0.02
"CEP63",2,0.02
"CEP70",2,0.02
"CEP97",2,0.02
"CFAP100",2,0.02
"CFAP20DC",2,0.02
"CFAP44",2,0.02
"CFAP91",2,0.02
"CFAP92",2,0.02
"CGGBP1",2,0.02
"CHCHD6",2,0.02
"CHMP2B",2,0.02
"CHRD",2,0.02
"CHST13",2,0.02
"CHST2",2,0.02
"CIP2A",2,0.02
"CLCN2",2,0.02
"CLDN1",2,0.02
"CLDN11",2,0.02
"CLDN16",2,0.02
"CLDN18",2,0.02
"CLDND1",2,0.02
"CLRN1",2,0.02
"CLSTN2",2,0.02
"CMSS1",2,0.02
"CNBP",2,0.02
"CNTN3",2,0.02
"COL6A5",2,0.02
"COL6A6",2,0.02
"COL8A1",2,0.02
"COMMD2",2,0.02
"COPB2",2,0.02
"COPG1",2,0.02
"COX17",2,0.02
"CP",2,0.02
"CPA3",2,0.02
"CPB1",2,0.02
"CPN2",2,0.02
"CPNE4",2,0.02
"CPOX",2,0.02
"CRYBG3",2,0.02
"CRYGS",2,0.02
"CSTA",2,0.02
"DBR1",2,0.02
"DCBLD2",2,0.02
"DCUN1D1",2,0.02
"DENND6A",2,0.02
"DGKG",2,0.02
"DHFR2",2,0.02
"DHX36",2,0.02
"DIPK2A",2,0.02
"DLG1",2,0.02
"DNAH12",2,0.02
"DNAJB11",2,0.02
"DNAJB8",2,0.02
"DNAJC13",2,0.02
"DNAJC19",2,0.02
"DNASE1L3",2,0.02
"DPPA2",2,0.02
"DPPA4",2,0.02
"DRC9",2,0.02
"DRD3",2,0.02
"DTX3L",2,0.02
"DVL3",2,0.02
"DYNLT2B",2,0.02
"DZIP1L",2,0.02
"DZIP3",2,0.02
"EAF2",2,0.02
"EBLN2",2,0.02
"ECE2",2,0.02
"ECT2",2,0.02
"EEFSEC",2,0.02
"EFCAB12",2,0.02
"EFCC1",2,0.02
"EHHADH",2,0.02
"EIF2A",2,0.02
"EIF2B5",2,0.02
"EIF4A2",2,0.02
"EIF4E3",2,0.02
"EIF4G1",2,0.02
"EIF5A2",2,0.02
"EOGT",2,0.02
"EPHA3",2,0.02
"EPHA6",2,0.02
"EPHB1",2,0.02
"EPHB3",2,0.02
"ERC2",2,0.02
"ERICH6",2,0.02
"ESYT3",2,0.02
"ETV5",2,0.02
"FAIM",2,0.02
"FAM107A",2,0.02
"FAM131A",2,0.02
"FAM162A",2,0.02
"FAM3D",2,0.02
"FAM43A",2,0.02
"FBXO40",2,0.02
"FBXO45",2,0.02
"FETUB",2,0.02
"FEZF2",2,0.02
"FGF12",2,0.02
"FHIT",2,0.02
"FILIP1L",2,0.02
"FLNB",2,0.02
"FNDC3B",2,0.02
"FOXL2",2,0.02
"FOXL2NB",2,0.02
"FOXP1",2,0.02
"FOXP1-IT1",2,0.02
"FRG2C",2,0.02
"FRMD4B",2,0.02
"FSTL1",2,0.02
"FXR1",2,0.02
"FYTTD1",2,0.02
"GABRR3",2,0.02
"GAP43",2,0.02
"GATA2",2,0.02
"GBE1",2,0.02
"GCSAM",2,0.02
"GFM1",2,0.02
"GHSR",2,0.02
"GK5",2,0.02
"GMNC",2,0.02
"GMPS",2,0.02
"GNB4",2,0.02
"GOLGB1",2,0.02
"GOLIM4",2,0.02
"GP5",2,0.02
"GP9",2,0.02
"GPR149",2,0.02
"GPR15",2,0.02
"GPR156",2,0.02
"GPR160",2,0.02
"GPR171",2,0.02
"GPR27",2,0.02
"GPR87",2,0.02
"GRAMD1C",2,0.02
"GRK7",2,0.02
"GSK3B",2,0.02
"GTF2E1",2,0.02
"GTPBP8",2,0.02
"GUCA1C",2,0.02
"GXYLT2",2,0.02
"GYG1",2,0.02
"H1-10",2,0.02
"H1-8",2,0.02
"HACD2",2,0.02
"HCLS1",2,0.02
"HEG1",2,0.02
"HES1",2,0.02
"HESX1",2,0.02
"HGD",2,0.02
"HHLA2",2,0.02
"HLTF",2,0.02
"HMCES",2,0.02
"HPS3",2,0.02
"HRG",2,0.02
"HSPBAP1",2,0.02
"HTR1F",2,0.02
"HTR3C",2,0.02
"HTR3D",2,0.02
"HTR3E",2,0.02
"IFT122",2,0.02
"IFT57",2,0.02
"IFT80",2,0.02
"IGF2BP2",2,0.02
"IGSF10",2,0.02
"IGSF11",2,0.02
"IGSF11-AS1",2,0.02
"IL12A",2,0.02
"IL17RD",2,0.02
"IL1RAP",2,0.02
"IL20RB",2,0.02
"ILDR1",2,0.02
"IMPG2",2,0.02
"IQCB1",2,0.02
"IQCJ",2,0.02
"IQCJ-SCHIP1",2,0.02
"ISY1",2,0.02
"ISY1-RAB43",2,0.02
"ITGB5",2,0.02
"KALRN",2,0.02
"KBTBD12",2,0.02
"KBTBD8",2,0.02
"KCNAB1",2,0.02
"KCNMB2",2,0.02
"KCNMB3",2,0.02
"KCTD6",2,0.02
"KLF15",2,0.02
"KLHL24",2,0.02
"KLHL6",2,0.02
"KNG1",2,0.02
"KPNA1",2,0.02
"KPNA4",2,0.02
"KY",2,0.02
"LAMP3",2,0.02
"LEKR1",2,0.02
"LINC01565",2,0.02
"LINC02877",2,0.02
"LIPH",2,0.02
"LMLN",2,0.02
"LMOD3",2,0.02
"LNP1",2,0.02
"LOC112935934",2,0.02
"LOC112935935",2,0.02
"LOC122889073",2,0.02
"LOC126806655",2,0.02
"LOC126806656",2,0.02
"LOC126806657",2,0.02
"LOC126806658",2,0.02
"LOC126806659",2,0.02
"LOC129389060",2,0.02
"LOC129936531",2,0.02
"LOC129936532",2,0.02
"LOC129936533",2,0.02
"LOC129936534",2,0.02
"LOC129936535",2,0.02
"LOC129936536",2,0.02
"LPP",2,0.02
"LRCH3",2,0.02
"LRIG1",2,0.02
"LRRC15",2,0.02
"LRRC31",2,0.02
"LRRC34",2,0.02
"LRRC58",2,0.02
"LRRIQ4",2,0.02
"LSAMP",2,0.02
"LSG1",2,0.02
"LXN",2,0.02
"MAGEF1",2,0.02
"MAGI1",2,0.02
"MAP3K13",2,0.02
"MAP6D1",2,0.02
"MASP1",2,0.02
"MB21D2",2,0.02
"MBD4",2,0.02
"MBNL1",2,0.02
"MCCC1",2,0.02
"MCF2L2",2,0.02
"MCM2",2,0.02
"MECOM",2,0.02
"MED12L",2,0.02
"MELTF",2,0.02
"MFN1",2,0.02
"MFSD1",2,0.02
"MGLL",2,0.02
"MINDY4B",2,0.02
"MIR1224",2,0.02
"MIR28",2,0.02
"MIR570",2,0.02
"MITF",2,0.02
"MIX23",2,0.02
"MLF1",2,0.02
"MME",2,0.02
"MORC1",2,0.02
"MORC1-AS1",2,0.02
"MRAS",2,0.02
"MRPL3",2,0.02
"MRPL47",2,0.02
"MRPS22",2,0.02
"MSL2",2,0.02
"MUC13",2,0.02
"MUC20",2,0.02
"MUC4",2,0.02
"MYH15",2,0.02
"MYLK",2,0.02
"MYNN",2,0.02
"NAA50",2,0.02
"NAALADL2",2,0.02
"NCBP2",2,0.02
"NCEH1",2,0.02
"NCK1",2,0.02
"NDUFB4",2,0.02
"NDUFB5",2,0.02
"NECTIN3",2,0.02
"NECTIN3-AS1",2,0.02
"NEK11",2,0.02
"NFKBIZ",2,0.02
"NIT2",2,0.02
"NLGN1",2,0.02
"NMD3",2,0.02
"NME9",2,0.02
"NMNAT3",2,0.02
"NPHP3",2,0.02
"NR1I2",2,0.02
"NRROS",2,0.02
"NSUN3",2,0.02
"NUDT16",2,0.02
"NXPE3",2,0.02
"OPA1",2,0.02
"OR5AC2",2,0.02
"OR5H1",2,0.02
"OR5H14",2,0.02
"OR5H15",2,0.02
"OR5H2",2,0.02
"OR5H6",2,0.02
"OR5K1",2,0.02
"OR5K2",2,0.02
"OR5K3",2,0.02
"OR5K4",2,0.02
"OSBPL11",2,0.02
"OSTN",2,0.02
"OTOL1",2,0.02
"P2RY1",2,0.02
"P2RY12",2,0.02
"P2RY13",2,0.02
"P2RY14",2,0.02
"P3H2",2,0.02
"PAK2",2,0.02
"PAQR9",2,0.02
"PARL",2,0.02
"PARP14",2,0.02
"PARP15",2,0.02
"PARP9",2,0.02
"PCCB",2,0.02
"PCNP",2,0.02
"PCOLCE2",2,0.02
"PCYT1A",2,0.02
"PDCD10",2,0.02
"PDE12",2,0.02
"PDHB",2,0.02
"PDIA5",2,0.02
"PDZRN3",2,0.02
"PEX5L",2,0.02
"PFN2",2,0.02
"PHC3",2,0.02
"PHLDB2",2,0.02
"PIGX",2,0.02
"PIGZ",2,0.02
"PIK3CA",2,0.02
"PIK3CB",2,0.02
"PIK3R4",2,0.02
"PLA1A",2,0.02
"PLAAT1",2,0.02
"PLCH1",2,0.02
"PLCXD2",2,0.02
"PLD1",2,0.02
"PLOD2",2,0.02
"PLS1",2,0.02
"PLSCR1",2,0.02
"PLSCR2",2,0.02
"PLSCR4",2,0.02
"PLSCR5",2,0.02
"PLXNA1",2,0.02
"PLXND1",2,0.02
"PODXL2",2,0.02
"POGLUT1",2,0.02
"POLQ",2,0.02
"POLR2H",2,0.02
"POPDC2",2,0.02
"POU1F1",2,0.02
"PPM1L",2,0.02
"PPP1R2",2,0.02
"PPP2R3A",2,0.02
"PPP4R2",2,0.02
"PRICKLE2",2,0.02
"PRKCI",2,0.02
"PROK2",2,0.02
"PROS1",2,0.02
"PRR23A",2,0.02
"PRR23B",2,0.02
"PRR23C",2,0.02
"PRR23E",2,0.02
"PSMD2",2,0.02
"PSMD6",2,0.02
"PTPRG",2,0.02
"PTX3",2,0.02
"PXK",2,0.02
"PXYLP1",2,0.02
"PYDC2",2,0.02
"QTRT2",2,0.02
"RAB43",2,0.02
"RAB6B",2,0.02
"RAB7A",2,0.02
"RABL3",2,0.02
"RAP2B",2,0.02
"RARRES1",2,0.02
"RASA2",2,0.02
"RBP1",2,0.02
"RBP2",2,0.02
"RETNLB",2,0.02
"RFC4",2,0.02
"RHO",2,0.02
"RIOX2",2,0.02
"RMP64",2,0.02
"RNF13",2,0.02
"RNF168",2,0.02
"RNF7",2,0.02
"ROBO1",2,0.02
"ROBO2",2,0.02
"ROPN1",2,0.02
"ROPN1B",2,0.02
"RPL22L1",2,0.02
"RPL24",2,0.02
"RPL35A",2,0.02
"RPL39L",2,0.02
"RPN1",2,0.02
"RPP14",2,0.02
"RSRC1",2,0.02
"RTP1",2,0.02
"RTP2",2,0.02
"RTP4",2,0.02
"RUBCN",2,0.02
"RUVBL1",2,0.02
"RYBP",2,0.02
"RYK",2,0.02
"SAMD7",2,0.02
"SCHIP1",2,0.02
"SEC22A",2,0.02
"SEC61A1",2,0.02
"SEC62",2,0.02
"SELENOT",2,0.02
"SEMA5B",2,0.02
"SENP2",2,0.02
"SENP5",2,0.02
"SENP7",2,0.02
"SERP1",2,0.02
"SERPINI1",2,0.02
"SERPINI2",2,0.02
"SHOX2",2,0.02
"SHQ1",2,0.02
"SI",2,0.02
"SIAH2",2,0.02
"SIDT1",2,0.02
"SKIL",2,0.02
"SLC12A8",2,0.02
"SLC15A2",2,0.02
"SLC25A36",2,0.02
"SLC2A2",2,0.02
"SLC33A1",2,0.02
"SLC35A5",2,0.02
"SLC35G2",2,0.02
"SLC41A3",2,0.02
"SLC49A4",2,0.02
"SLC51A",2,0.02
"SLC7A14",2,0.02
"SLC9A9",2,0.02
"SLC9C1",2,0.02
"SLCO2A1",2,0.02
"SLITRK3",2,0.02
"SLMAP",2,0.02
"SMC4",2,0.02
"SMCO1",2,0.02
"SNORA63",2,0.02
"SNORA81",2,0.02
"SNTN",2,0.02
"SNX4",2,0.02
"SOX14",2,0.02
"SOX2",2,0.02
"SOX2-OT",2,0.02
"SPATA12",2,0.02
"SPATA16",2,0.02
"SPICE1",2,0.02
"SPSB4",2,0.02
"SPTSSB",2,0.02
"SRPRB",2,0.02
"SSR3",2,0.02
"SST",2,0.02
"ST3GAL6",2,0.02
"ST6GAL1",2,0.02
"STAG1",2,0.02
"STX19",2,0.02
"STXBP5L",2,0.02
"SUCLG2",2,0.02
"SUCNR1",2,0.02
"SYNPR",2,0.02
"TAFA1",2,0.02
"TAFA4",2,0.02
"TAGLN3",2,0.02
"TASOR",2,0.02
"TBC1D23",2,0.02
"TBCCD1",2,0.02
"TBL1XR1",2,0.02
"TERC",2,0.02
"TEX55",2,0.02
"TF",2,0.02
"TFDP2",2,0.02
"TFG",2,0.02
"TFRC",2,0.02
"THOC7",2,0.02
"THPO",2,0.02
"TIGIT",2,0.02
"TIMMDC1",2,0.02
"TIPARP",2,0.02
"TM4SF1",2,0.02
"TM4SF18",2,0.02
"TM4SF19",2,0.02
"TM4SF4",2,0.02
"TMCC1",2,0.02
"TMEM108",2,0.02
"TMEM207",2,0.02
"TMEM212",2,0.02
"TMEM39A",2,0.02
"TMEM41A",2,0.02
"TMEM44",2,0.02
"TMEM45A",2,0.02
"TMF1",2,0.02
"TMPRSS7",2,0.02
"TNFSF10",2,0.02
"TNIK",2,0.02
"TNK2",2,0.02
"TNK2-AS1",2,0.02
"TOMM70",2,0.02
"TOPBP1",2,0.02
"TP63",2,0.02
"TPRA1",2,0.02
"TPRG1",2,0.02
"TRA2B",2,0.02
"TRAT1",2,0.02
"TRH",2,0.02
"TRIM42",2,0.02
"TRIM59",2,0.02
"TRMT10C",2,0.02
"TRPC1",2,0.02
"TSC22D2",2,0.02
"TTC14",2,0.02
"TXNRD3",2,0.02
"TXNRD3NB",2,0.02
"U2SURP",2,0.02
"UBA3",2,0.02
"UBA5",2,0.02
"UBXN7",2,0.02
"UMPS",2,0.02
"UPK1B",2,0.02
"UROC1",2,0.02
"USF3",2,0.02
"USP13",2,0.02
"UTS2B",2,0.02
"VEPH1",2,0.02
"VGLL3",2,0.02
"VPS8",2,0.02
"VWA5B2",2,0.02
"WDR49",2,0.02
"WDR53",2,0.02
"WDR5B",2,0.02
"WNT5A",2,0.02
"WWTR1",2,0.02
"XRN1",2,0.02
"XXYLT1",2,0.02
"YEATS2",2,0.02
"ZBBX",2,0.02
"ZBED2",2,0.02
"ZBTB11",2,0.02
"ZBTB20",2,0.02
"ZBTB38",2,0.02
"ZDHHC19",2,0.02
"ZDHHC23",2,0.02
"ZIC1",2,0.02
"ZIC4",2,0.02
"ZMAT3",2,0.02
"ZNF148",2,0.02
"ZNF639",2,0.02
"ZNF654",2,0.02
"ZNF717",2,0.02
"ZNF80",2,0.02
"ZPLD1",2,0.02
"ZXDC",2,0.02
"CCDC13-AS1",1,0.01
"CCDC13-AS2",1,0.01
"CCR5AS",1,0.01
"FAM240A",1,0.01
"HHATL-AS1",1,0.01
"KRBOX1",1,0.01
"KRBOX1-AS1",1,0.01
"LARS2-AS1",1,0.01
"LIMD1-AS1",1,0.01
"LINC01986",1,0.01
"LINC01988",1,0.01
"LINC02009",1,0.01
"LOC111828516",1,0.01
"LOC112935936",1,0.01
"LOC112935937",1,0.01
"LOC112935938",1,0.01
"LOC112935941",1,0.01
"LOC112935942",1,0.01
"LOC112935943",1,0.01
"LOC114004378",1,0.01
"LOC119086083",1,0.01
"LOC121009659",1,0.01
"LOC121009660",1,0.01
"LOC121009661",1,0.01
"LOC121009662",1,0.01
"LOC121009663",1,0.01
"LOC121009664",1,0.01
"LOC121009665",1,0.01
"LOC121009666",1,0.01
"LOC121725141",1,0.01
"LOC121725142",1,0.01
"LOC121725143",1,0.01
"LOC121725144",1,0.01
"LOC122889074",1,0.01
"LOC122889075",1,0.01
"LOC122889076",1,0.01
"LOC122889077",1,0.01
"LOC122889078",1,0.01
"LOC122889079",1,0.01
"LOC122889080",1,0.01
"LOC122889081",1,0.01
"LOC126806660",1,0.01
"LOC126806661",1,0.01
"LOC126806662",1,0.01
"LOC126806663",1,0.01
"LOC126806664",1,0.01
"LOC126806665",1,0.01
"LOC126806666",1,0.01
"LOC126806667",1,0.01
"LOC126806668",1,0.01
"LOC126806669",1,0.01
"LOC126806670",1,0.01
"LOC126806671",1,0.01
"LOC126806672",1,0.01
"LOC126806673",1,0.01
"LOC129389061",1,0.01
"LOC129389062",1,0.01
"LOC129389063",1,0.01
"LOC129389064",1,0.01
"LOC129936537",1,0.01
"LOC129936538",1,0.01
"LOC129936539",1,0.01
"LOC129936540",1,0.01
"LOC129936541",1,0.01
"LOC129936542",1,0.01
"LOC129936543",1,0.01
"LOC129936544",1,0.01
"LOC129936545",1,0.01
"LOC129936546",1,0.01
"LOC129936547",1,0.01
"LOC129936548",1,0.01
"LOC129936549",1,0.01
"LOC129936550",1,0.01
"LOC129936551",1,0.01
"LOC129936552",1,0.01
"LOC129936553",1,0.01
"LOC129936554",1,0.01
"LOC129936555",1,0.01
"LOC129936556",1,0.01
"LOC129936557",1,0.01
"LOC129936558",1,0.01
